id,name,category,website_hint,one_liner,auth_methods,primary_auth,access_model,access_details,api_surface,api_breadth,mcp_status,buildability_verdict,main_blocker,priority_quadrant,evidence_url
11,Zendesk,Support and Helpdesk,zendesk.com,"Omnichannel customer support ticketing, knowledge base, and live agent platform.",OAuth2; API Token (Basic Auth),API Token (Basic Auth),Self-Serve Free,14-day free trial or free sponsored Developer account for app developers.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Subdomain URL routing (`{subdomain}.zendesk.com`) and rate limits.,Quick Win (Instant Toolkit),https://developer.zendesk.com/api-reference/
12,Intercom,Support and Helpdesk,intercom.com,"AI customer service platform featuring conversational support, bots, and ticketing.",OAuth2; Personal Access Token (Bearer),Personal Access Token (Bearer),Self-Serve Free,Free Developer Workspace can be created instantly in Intercom Developer Hub.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Intercom app review required for public marketplace distribution.,Quick Win (Instant Toolkit),https://developers.intercom.com/docs/
13,Freshdesk,Support and Helpdesk,freshdesk.com,"Cloud customer support software with ticketing, automation, and team collaboration.",API Key (Basic Auth); OAuth2 (Freshworks Neo),API Key (Basic Auth),Self-Serve Free,Free plan (up to 10 agents) with instant personal API key from profile settings.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Domain-specific endpoint routing (`yourdomain.freshdesk.com`).,Quick Win (Instant Toolkit),https://developers.freshdesk.com/api/
14,Front,Support and Helpdesk,front.com,Customer operations platform combining shared inboxes with automated workflows.,API Token (Bearer); OAuth2,API Token (Bearer),Self-Serve Free,7-day free trial or free developer sandbox upon registration.,REST,Broad (>50 endpoints),Community MCP,Ready Today,Paid plan required after trial ($19+/seat/mo).,Core Enterprise Bet,https://dev.frontapp.com/docs/overview
15,Pylon,Support and Helpdesk,usepylon.com,"Modern B2B support platform managing customer communication across Slack, Teams, and email.",API Key (Bearer Token),API Key (Bearer Token),Admin-Approval,Credentials generated in Settings > API Keys; requires active Pylon organization plan.,REST,Moderate (10-50 endpoints),None,Feasible with Auth Setup,Requires existing paid customer account or sales-assisted onboarding trial.,Core Enterprise Bet,https://docs.usepylon.com/reference/getting-started
16,LiveAgent,Support and Helpdesk,liveagent.com,Help desk and real-time live chat software with multi-channel ticketing.,API Key (Header `apikey`); OAuth2,API Key (Header `apikey`),Self-Serve Free,14-day free trial or free tier; API keys generated under Configuration > System > API.,REST,Broad (>50 endpoints),None,Ready Today,None (Swagger/OpenAPI v3 spec available for direct tool generation).,Quick Win (Instant Toolkit),https://api.liveagent.com/docs/
17,Plain,Support and Helpdesk,plain.com,Modern customer support platform built specifically for B2B engineering teams.,API Key (Bearer Token),API Key (Bearer Token),Self-Serve Free,Free tier available (up to 100 threads/month); instant API key creation in Settings.,GraphQL,Broad (>50 endpoints),Community MCP,Ready Today,None (developer-first GraphQL API with fine-grained permissions).,Quick Win (Instant Toolkit),https://plain.com/docs
18,Help Scout,Support and Helpdesk,helpscout.com,Customer communication platform providing shared inboxes and self-service docs.,OAuth2 (Client Credentials / Auth Code),OAuth2,Self-Serve Free,15-day free trial; OAuth app credentials created in Profile > My Apps.,REST,Broad (>50 endpoints),Composio Native,Ready Today,OAuth token expiration (short-lived tokens require automatic refresh cycles).,Quick Win (Instant Toolkit),https://developer.helpscout.com/help-desk-api/
19,Gorgias,Support and Helpdesk,gorgias.com,"Ecommerce helpdesk built specifically for Shopify, BigCommerce, and Magento stores.",API Key (Basic Auth); OAuth2,API Key (Basic Auth),Self-Serve Free,7-day free trial; API key generated immediately under Settings > REST API.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Requires connecting a mock/live ecommerce store to exercise order-action endpoints.,Quick Win (Instant Toolkit),https://developers.gorgias.com/reference/introduction
20,Gladly,Support and Helpdesk,gladly.com,Customer service platform centered on lifelong customer conversation threads.,API Token (Basic Auth),API Token (Basic Auth),Partner-Gated,No self-serve developer tier; credentials provisioned by tenant administrators on enterprise contracts.,Moderate (10-50 endpoints),Moderate (10-50 endpoints),None,High Friction,Enterprise contract required; closed developer ecosystem with no public sandbox.,Strategic Outreach,https://developer.gladly.com/
21,Slack,Communications and Messaging,slack.com,"Enterprise team messaging, channels, workflow automations, and collaboration hub.",OAuth2 (Bot/User Scopes); Bot User OAuth Token (`xoxb-`),Bot User OAuth Token (`xoxb-`),Self-Serve Free,Free Slack workspace creation allows creating Slack Apps and generating bot tokens in seconds.,REST (Web API) + WebSocket (Socket Mode),Broad (>50 endpoints),Official MCP,Ready Today,Granular scope configuration and workspace admin permission in enterprise tenants.,Quick Win (Instant Toolkit),https://api.slack.com/apis
22,Twilio,Communications and Messaging,twilio.com,"Programmable cloud communications API for SMS, voice calls, WhatsApp, and video.",Account SID + Auth Token (Basic Auth); API Key + Secret,Account SID + Auth Token (Basic Auth),Self-Serve Free,Self-serve free trial account with complimentary test balance and sandbox numbers.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Carrier regulatory verification (A2P 10DLC registration in US for SMS outbound).,Quick Win (Instant Toolkit),https://www.twilio.com/docs/usage/api
23,Zoho Cliq,Communications and Messaging,zoho.com/cliq,"Team communication, channels, and workplace chat tool by Zoho.",OAuth2; Zoho Authtoken,OAuth2,Self-Serve Free,Free plan (up to 100 users) provides immediate developer bot creation.,REST,Broad (>50 endpoints),Composio Native,Ready Today,"Zoho multi-DC authentication redirection (.com, .eu, etc.).",Core Enterprise Bet,https://www.zoho.com/cliq/help/restapi/v2/
24,Lark (Larksuite),Communications and Messaging,open.larksuite.com,"Enterprise collaboration suite integrating chat, calendar, docs, and video (ByteDance).",OAuth2 (App Access Token / Tenant Access Token),OAuth2 (Tenant Access Token),Self-Serve Free,Free developer console access; app ID and App Secret created self-serve.,REST,Broad (>50 endpoints),Community MCP,Ready Today,Multi-tier token exchange protocol (internal app vs custom app credentials).,Core Enterprise Bet,https://open.larksuite.com/document/home/index
25,Pumble,Communications and Messaging,pumble.com,Team messaging and collaboration application designed as an affordable Slack alternative.,API Token (Bearer); Incoming Webhooks,API Token (Bearer),Self-Serve Free,Free plan allows generating bot tokens and webhook URLs in workspace administration.,REST,Narrow (<10 endpoints),None,Feasible with Auth Setup,Narrow public API surface compared to Slack; primarily focused on messages and webhooks.,Core Enterprise Bet,https://pumble.com/help/integrations/custom-integrations/
26,Discord,Communications and Messaging,discord.com,"Voice, video, and text communication platform for communities and gaming groups.",Bot Token (Bearer); OAuth2,Bot Token (Bearer),Self-Serve Free,Free developer portal allows instant bot application creation and token copying.,REST + WebSocket (Gateway),Broad (>50 endpoints),Composio Native,Ready Today,Privileged Gateway Intents (Message Content Intent) required for message listening.,Quick Win (Instant Toolkit),https://discord.com/developers/docs/intro
27,Telegram,Communications and Messaging,core.telegram.org,Cloud-based mobile and desktop messaging app with extensive bot automation ecosystem.,Bot Token (`bot<token>`); MTProto API ID/Hash,Bot Token (`bot<token>`),Self-Serve Free,Completely free self-serve bot creation via @BotFather in less than 30 seconds.,REST,Broad (>50 endpoints),Composio Native,Ready Today,None (fastest bot provisioning in modern SaaS).,Quick Win (Instant Toolkit),https://core.telegram.org/bots/api
28,WhatsApp Business,Communications and Messaging,developers.facebook.com/docs/whatsapp,Enterprise customer messaging on WhatsApp via Meta Cloud API.,System User Access Token (Bearer); OAuth2,System User Access Token (Bearer),Self-Serve Free,Free Cloud API sandbox with test phone numbers via Meta for Developers portal.,REST (Meta Graph API),Broad (>50 endpoints),Composio Native,Feasible with Auth Setup,Meta Business verification required for production phone numbers; pre-approved message templates.,Core Enterprise Bet,https://developers.facebook.com/docs/whatsapp/cloud-api
29,Aircall,Communications and Messaging,aircall.io,Cloud business phone and call center platform integrated with CRMs and helpdesks.,API ID + API Token (Basic Auth); OAuth2,API ID + API Token (Basic Auth),Self-Serve Free,7-day free trial or free developer sandbox upon registration.,REST,Broad (>50 endpoints),None,Ready Today,Live outbound calling testing requires VoIP carrier provisioning.,Core Enterprise Bet,https://developer.aircall.io/api-references/
30,Vonage,Communications and Messaging,developer.vonage.com,"Communications platform APIs for SMS, voice, video, verification, and WhatsApp.",API Key + Secret (Basic Auth); JWT (Private Key),API Key + Secret (Basic Auth),Self-Serve Free,Free developer account with initial €2 test credits and sandbox environment.,REST,Broad (>50 endpoints),Community MCP,Ready Today,Carrier registration fees and compliance for production SMS sender IDs.,Quick Win (Instant Toolkit),https://developer.vonage.com/en/api
31,Google Ads,"Marketing, Ads, Email and Social",developers.google.com/google-ads,"Online advertising platform for Google Search, YouTube, and Display Network.",OAuth2 + Developer Token,OAuth2 + Developer Token,Admin-Approval,Test accounts can be created self-serve; production Developer Token requires formal Google review.,REST + gRPC,Broad (>50 endpoints),Community MCP,High Friction,"Mandatory Developer Token application, Google compliance review, and strict API access tiers.",Strategic Outreach,https://developers.google.com/google-ads/api/docs/first-call/overview
32,Meta Ads,"Marketing, Ads, Email and Social",developers.facebook.com/docs/marketing-apis,Marketing API for programmatic advertising on Facebook and Instagram.,User / System User Access Token (OAuth2),System User Access Token (OAuth2),Self-Serve Free,Development mode is self-serve; Standard/Advanced access requires Meta App Review & Business Verification.,REST (Graph API),Broad (>50 endpoints),Composio Native,Feasible with Auth Setup,App Review and Business Verification required to access live non-developer ad accounts.,Core Enterprise Bet,https://developers.facebook.com/docs/marketing-apis/
33,LinkedIn Ads,"Marketing, Ads, Email and Social",learn.microsoft.com/linkedin/marketing,"B2B advertising platform for sponsored content, message ads, and lead generation.",OAuth2 (3-legged),OAuth2 (3-legged),Partner-Gated,Requires application approval into the LinkedIn Marketing Developer Program.,REST,Broad (>50 endpoints),Composio Native,High Friction,Partner approval gate; applications are frequently scrutinized or rejected for early-stage tools.,Strategic Outreach,https://learn.microsoft.com/en-us/linkedin/marketing/overview
34,GoHighLevel,"Marketing, Ads, Email and Social",highlevel.stoplight.io,"All-in-one marketing, CRM, appointment booking, and funnel platform for agencies.",OAuth2 (v2); Location API Key (v1/v2),OAuth2 (v2),Self-Serve Paid,14-day trial or paid agency plan ($97+/mo) required; Developer Marketplace allows OAuth app creation.,REST,Broad (>50 endpoints),Community MCP,Feasible with Auth Setup,Requires paid agency account to create and bind OAuth marketplace apps.,Core Enterprise Bet,https://highlevel.stoplight.io/docs/integrations/
35,Mailchimp,"Marketing, Ads, Email and Social",mailchimp.com/developer,"Email marketing, audience management, and automated campaign platform (Intuit).",OAuth2; API Key (format `<key>-<dc>`),API Key (format `<key>-<dc>`),Self-Serve Free,Free plan (up to 500 contacts) allows generating API keys immediately in account settings.,REST,Broad (>50 endpoints),Composio Native,Ready Today,"Must parse datacenter prefix (`us1`, `us20`) from API key to construct target URL.",Quick Win (Instant Toolkit),https://mailchimp.com/developer/marketing/api/
36,Klaviyo,"Marketing, Ads, Email and Social",developers.klaviyo.com,Data and marketing automation platform for ecommerce SMS and email campaigns.,Private API Key (Header `Klaviyo-API-Key`); OAuth2,Private API Key (Header `Klaviyo-API-Key`),Self-Serve Free,Free account (up to 250 contacts) with instant private API key generation.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Mandatory `revision` header (`revision: 2024-07-15`) required on modern JSON:API endpoints.,Quick Win (Instant Toolkit),https://developers.klaviyo.com/en/reference/api_overview
37,systeme.io,"Marketing, Ads, Email and Social",systeme.io (funnel builder),"All-in-one funnel builder, email marketing, and online course platform.",Public API Key (Header `X-API-Key`),Public API Key (Header `X-API-Key`),Self-Serve Free,"Free plan (up to 2,000 contacts) includes API key generation in Settings > Public API keys.",REST,Moderate (10-50 endpoints),None,Ready Today,"None (clean, straightforward REST API key auth).",Quick Win (Instant Toolkit),https://systeme.io/api
38,Pinterest,"Marketing, Ads, Email and Social",developers.pinterest.com,"Visual discovery engine for saving ideas, pins, boards, and ecommerce catalog ads.",OAuth2 (Bearer),OAuth2 (Bearer),Self-Serve Free,Trial access in developer portal allows instant API tokens for up to 5 sandbox accounts.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Moving from Trial Access to Standard Access requires app review approval.,Quick Win (Instant Toolkit),https://developers.pinterest.com/docs/api/v5/
39,Threads (Meta),"Marketing, Ads, Email and Social",developers.facebook.com/docs/threads,Text-based social platform by Instagram/Meta for public conversations.,OAuth2 (Threads User Access Token),OAuth2 (Threads User Access Token),Self-Serve Free,Self-serve setup in Meta Developer portal; test users can publish immediately.,REST (Graph API),Moderate (10-50 endpoints),Community MCP,Ready Today,Publishing to production non-tester accounts requires Meta App Review.,Quick Win (Instant Toolkit),https://developers.facebook.com/docs/threads
40,SendGrid,"Marketing, Ads, Email and Social",sendgrid.com,Cloud transactional and marketing email delivery infrastructure (Twilio).,API Key (Bearer Token),API Key (Bearer Token),Self-Serve Free,Free tier (100 emails/day forever) with instant API key creation in Settings.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Domain sender identity verification (SPF/DKIM) needed to prevent spam filtering.,Quick Win (Instant Toolkit),https://docs.sendgrid.com/api-reference
41,Shopify,Ecommerce,shopify.dev,Global multi-channel commerce platform for online stores and retail point-of-sale.,OAuth2; Custom App Access Token (`shpat_`),Custom App Access Token (`shpat_`),Self-Serve Free,Free Shopify Partner account allows creating unlimited free development stores with full API access.,GraphQL + REST,Broad (>50 endpoints),Official MCP,Ready Today,Protected Customer Data approval required for public app store apps (bypassed in Custom Apps).,Quick Win (Instant Toolkit),https://shopify.dev/docs/api/admin-rest
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api,Open-source customizable ecommerce platform built on WordPress.,Consumer Key + Secret (Basic Auth over HTTPS); OAuth1.0a,Consumer Key + Secret (Basic Auth over HTTPS),Self-Serve Free,100% free open-source software; keys generated in WooCommerce > Settings > Advanced > REST API.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Requires a live or local WordPress environment running WooCommerce.,Quick Win (Instant Toolkit),https://woocommerce.github.io/woocommerce-rest-api-docs/
43,BigCommerce,Ecommerce,developer.bigcommerce.com,Open SaaS ecommerce platform with headless architecture for high-volume merchants.,OAuth2 (Client ID + Access Token),OAuth2 (Access Token),Self-Serve Free,15-day free trial or free developer sandbox store in Developer Portal.,REST + GraphQL,Broad (>50 endpoints),Composio Native,Ready Today,Store hash requirement in API request path (`/stores/{store_hash}/v3/`).,Quick Win (Instant Toolkit),https://developer.bigcommerce.com/docs/rest
44,Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce,Enterprise B2C and B2B commerce platform for high-scale global brands.,OAuth2 (Account Manager SLAS / Client Credentials),OAuth2,Partner-Gated,Enterprise contract required; developer sandbox access requires Salesforce Account Manager client.,REST (SCAPI / OCAPI),Broad (>50 endpoints),None,High Friction,No self-serve developer sandbox for non-customers/non-partners; closed enterprise gate.,Strategic Outreach,https://developer.salesforce.com/docs/commerce/commerce-api
45,Magento (Adobe Commerce),Ecommerce,developer.adobe.com/commerce,Enterprise ecommerce platform available as open source or Adobe Commerce cloud.,Bearer Token (Integration Token); OAuth 1.0a,Bearer Token (Integration Token),Self-Serve Free,Free open-source edition (Magento Open Source) can be self-hosted; Integration token generated in Admin.,REST + GraphQL,Broad (>50 endpoints),Community MCP,Ready Today,Self-hosting complexity for Open Source; cloud edition requires Adobe enterprise license.,Core Enterprise Bet,https://developer.adobe.com/commerce/webapi/get-started/
46,Squarespace,Ecommerce,developers.squarespace.com,Website builder and ecommerce platform for creative businesses and merchants.,API Key (Bearer Token); OAuth2,API Key (Bearer Token),Self-Serve Paid,14-day website trial allows testing; API key generation requires Commerce Basic or Advanced paid plan.,REST,Moderate (10-50 endpoints),None,Feasible with Auth Setup,Commerce APIs are paywalled behind Commerce Basic/Advanced tiers ($27+/mo).,Core Enterprise Bet,https://developers.squarespace.com/commerce-apis/overview
47,Ecwid,Ecommerce,api-docs.ecwid.com,Embeddable ecommerce widget and shopping cart by Lightspeed.,OAuth2 (Secret Token / Public Token),OAuth2 (Secret Token),Self-Serve Free,Free registered developer account allows creating apps and generating test tokens.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Free store tier limits API calls; developer account required for full test store.,Quick Win (Instant Toolkit),https://api-docs.ecwid.com/reference/overview
48,Gumroad,Ecommerce,gumroad.com/api,"E-commerce platform for digital creators, courses, books, and software licenses.",OAuth2; Personal Access Token (Bearer),Personal Access Token (Bearer),Self-Serve Free,Free creator account creation; instant Personal Access Token generation in Settings > Advanced.,REST,Moderate (10-50 endpoints),Community MCP,Ready Today,"None (straightforward REST endpoints for sales, products, and subscribers).",Quick Win (Instant Toolkit),https://gumroad.com/api
49,Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api,"REST API suite for Amazon sellers and vendors to manage orders, inventory, and listings.",OAuth2 (LWA) + AWS Signature v4 (IAM STS),OAuth2 + AWS SigV4,Partner-Gated,"Requires Professional Selling account ($39.99/mo), Developer Profile registration, and strict security review.",REST,Broad (>50 endpoints),None,High Friction,"Data Protection Policy questionnaire, AWS IAM SigV4 signing complexity, and developer profile vetting.",Strategic Outreach,https://developer-docs.amazon.com/sp-api/docs/welcome
50,fanbasis,Ecommerce,fanbasis.com,Creator monetization platform offering personalized fan video shoutouts and experiences.,Session Cookie / Undocumented Partner Token,Session Cookie,No Public API,No public developer portal or documentation; internal web endpoints only.,None,None,None,Blocked,No documented public API; would require reverse engineering or corporate partnership.,Strategic Outreach,https://fanbasis.com
51,DataForSEO,"Data, SEO and Scraping",docs.dataforseo.com,"Raw SEO, SERP, backlink, and digital marketing data APIs for software developers.",Basic Auth (Login:Password),Basic Auth (Login:Password),Self-Serve Free,Free registration with $1 test credit for sandbox and live API calls.,REST,Broad (>50 endpoints),None,Ready Today,Pure pay-as-you-go credit exhaustion after initial $1 bonus.,Quick Win (Instant Toolkit),https://docs.dataforseo.com/v3/
52,SE Ranking,"Data, SEO and Scraping",seranking.com/api,"SEO suite for keyword tracking, backlink analysis, competitor research, and audits.",API Key (Bearer / Header `Token`),API Key (Bearer),Self-Serve Paid,Standard 14-day free trial does not include API; API requires paid Pro or Business subscription.,REST,Broad (>50 endpoints),None,Feasible with Auth Setup,API access is gated behind higher-tier paid subscriptions ($100+/mo).,Core Enterprise Bet,https://seranking.com/api.html
53,Ahrefs,"Data, SEO and Scraping",ahrefs.com/api,"Leading SEO backlink index, search traffic intelligence, and keyword database.",API Key (Bearer Token v3); OAuth2,API Key (Bearer Token v3),Self-Serve Paid,Enterprise subscription required; API calls consume metered API units with expensive minimum commitments.,REST,Broad (>50 endpoints),None,Feasible with Auth Setup,High commercial barrier; API v3 requires Enterprise plan and unit purchasing.,Core Enterprise Bet,https://ahrefs.com/api/documentation
54,MrScraper,"Data, SEO and Scraping",docs.mrscraper.com,Visual web scraper and automated data extraction platform with scheduled scraping.,API Key (Bearer Token),API Key (Bearer Token),Self-Serve Free,Free plan includes 30 scrapes/month; instant API key generation in dashboard.,REST,Moderate (10-50 endpoints),None,Ready Today,Low monthly scrape limits on free tier.,Quick Win (Instant Toolkit),https://docs.mrscraper.com/api-reference
55,Apify,"Data, SEO and Scraping",docs.apify.com,"Cloud platform for web scraping, data extraction, and serverless web crawling Actors.",API Token (Bearer / Query Param),API Token (Bearer),Self-Serve Free,Free tier with recurring $5 monthly platform credits; instant personal API token.,REST,Broad (>50 endpoints),Official MCP,Ready Today,None (premier agent scraping ecosystem with turnkey Actor execution).,Quick Win (Instant Toolkit),https://docs.apify.com/api/v2
56,Firecrawl,"Data, SEO and Scraping",firecrawl.dev,"API service that turns websites into clean, LLM-ready markdown or structured JSON.",API Key (Bearer Token),API Key (Bearer Token),Self-Serve Free,Free tier with 500 scrape credits; instant API key generation.,REST,Moderate (10-50 endpoints),Official MCP,Ready Today,None (built natively for LLMs and agent toolkits).,Quick Win (Instant Toolkit),https://docs.firecrawl.dev/api-reference/
57,Bright Data,"Data, SEO and Scraping",brightdata.com,"Enterprise proxy network, web unlocker, and pre-built dataset scraping platform.",API Token (Bearer); Zone Credentials (User:Password),API Token (Bearer),Self-Serve Free,Self-serve trial with initial credits; pay-as-you-go billing available.,REST,Broad (>50 endpoints),Community MCP,Ready Today,KYC identity verification required before unlocking residential proxies.,Core Enterprise Bet,https://docs.brightdata.com/api-reference
58,Sherlock,"Data, SEO and Scraping",github.com/sherlock-project/sherlock,Open-source OSINT Python tool hunting usernames across 400+ social networks.,None (No Auth / CLI Execution),None,Self-Serve Free,100% free open-source software on GitHub; run via python or docker locally.,CLI / Local,Narrow (<10 endpoints),Community MCP,Ready Today,No hosted cloud REST API; requires running as a local CLI wrapper or microservice.,Alternative / CLI,https://github.com/sherlock-project/sherlock
59,Waterfall.io,"Data, SEO and Scraping",waterfall.io (contact/company intel),B2B contact enrichment and company intelligence waterfall aggregation platform.,API Key (Bearer Token),API Key (Bearer Token),Admin-Approval,Private access; requires sales request or customer onboarding to obtain API credentials.,Moderate (10-50 endpoints),Moderate (10-50 endpoints),None,Feasible with Auth Setup,Sales onboarding gate; no instant self-serve developer portal.,Strategic Outreach,https://waterfall.io
60,Clay,"Data, SEO and Scraping",clay.com,"AI-powered prospecting, company intelligence, and automated outbound data platform.",API Key (Header `X-Clay-Key` / Bearer); Webhooks,API Key (Header `X-Clay-Key`),Self-Serve Free,14-day trial with 100 free credits; paid plans from $149/mo for production enrichment.,REST,Moderate (10-50 endpoints),Community MCP,Ready Today,Primary power is in-app table UI; API exposes webhooks and table row ingestion.,Quick Win (Instant Toolkit),https://clay.com
61,GitHub,"Developer, Infra and Data platforms",docs.github.com/rest,"World-leading cloud code repository, pull request collaboration, and CI/CD platform.",Personal Access Token (fine-grained); OAuth2; GitHub App,Personal Access Token (fine-grained),Self-Serve Free,Completely free self-serve account; PATs created in seconds under Developer Settings.,REST + GraphQL,Broad (>50 endpoints),Official MCP,Ready Today,Selecting fine-grained token repository scopes.,Quick Win (Instant Toolkit),https://docs.github.com/en/rest
62,Vercel,"Developer, Infra and Data platforms",vercel.com/docs/rest-api,"Frontend cloud platform for developing, previewing, and shipping web applications.",Bearer Token (Personal Access Token); OAuth2,Bearer Token (Personal Access Token),Self-Serve Free,Free Hobby tier with instant token creation in Account Settings > Tokens.,REST,Broad (>50 endpoints),Official MCP,Ready Today,Team ID query parameter required when querying team-scoped resources.,Quick Win (Instant Toolkit),https://vercel.com/docs/rest-api
63,Netlify,"Developer, Infra and Data platforms",docs.netlify.com/api,"Cloud platform for building, deploying, and scaling modern web apps and serverless sites.",Personal Access Token (Bearer); OAuth2,Personal Access Token (Bearer),Self-Serve Free,Free Starter tier allows generating personal access tokens in user settings.,REST,Broad (>50 endpoints),Community MCP,Ready Today,None (complete OpenAPI spec available).,Quick Win (Instant Toolkit),https://docs.netlify.com/api/get-started/
64,Cloudflare,"Developer, Infra and Data platforms",developers.cloudflare.com/api,"Global edge network offering DNS, DDoS mitigation, CDN, and Workers serverless compute.",API Token (Bearer); Global API Key,API Token (Bearer),Self-Serve Free,"Free plan covers DNS, CDN, and Workers (100k requests/day); API tokens minted instantly.",REST,Broad (>50 endpoints),Official MCP,Ready Today,Configuring zone vs account level permissions for specific token templates.,Quick Win (Instant Toolkit),https://developers.cloudflare.com/api/
65,Supabase,"Developer, Infra and Data platforms",supabase.com/docs,"Open-source Firebase alternative providing Postgres, Auth, Realtime, Storage, and Edge Functions.",API Key (`anon` / `service_role` Bearer); Personal Access Token (Management API),API Key (`service_role` Bearer),Self-Serve Free,Free tier (2 free projects); API keys displayed in Project Settings > API immediately.,REST (PostgREST) + GraphQL + Management REST,Broad (>50 endpoints),Official MCP,Ready Today,Distinguishing data-plane keys (PostgREST) from platform Management API tokens.,Quick Win (Instant Toolkit),https://supabase.com/docs/reference/api
